,nmin,minleaf,ntrees,nfeats,avg_accuracy
200,4,1,50,1,0.7082456140350877
201,4,1,50,2,0.7189473684210527
202,4,1,50,3,0.7189473684210527
203,4,1,50,4,0.7215789473684211
204,4,1,50,5,0.7135087719298245
205,4,1,50,6,0.7082105263157895
206,4,1,50,7,0.7268771929824561
207,4,1,50,8,0.7508771929824561
208,4,1,50,9,0.7188070175438597
209,4,1,50,10,0.7294736842105263
210,4,1,100,1,0.7189473684210527
211,4,1,100,2,0.7029122807017545
212,4,1,100,3,0.7376491228070176
213,4,1,100,4,0.7189122807017544
214,4,1,100,5,0.7348771929824561
215,4,1,100,6,0.7135789473684211
216,4,1,100,7,0.7162105263157895
217,4,1,100,8,0.7454035087719298
218,4,1,100,9,0.7294736842105263
219,4,1,100,10,0.7455087719298245
220,4,1,150,1,0.7190526315789473
221,4,1,150,2,0.7269473684210527
222,4,1,150,3,0.7321754385964911
223,4,1,150,4,0.7215438596491228
224,4,1,150,5,0.7082105263157894
225,4,1,150,6,0.716140350877193
226,4,1,150,7,0.7295087719298247
227,4,1,150,8,0.7347719298245614
228,4,1,150,9,0.7375789473684211
229,4,1,150,10,0.718842105263158
230,4,1,200,1,0.7296140350877194
231,4,1,200,2,0.7242807017543861
232,4,1,200,3,0.7268771929824561
233,4,1,200,4,0.718982456140351
234,4,1,200,5,0.7162105263157895
235,4,1,200,6,0.7109122807017544
236,4,1,200,7,0.7269824561403508
237,4,1,200,8,0.7322456140350877
238,4,1,200,9,0.7401052631578947
239,4,1,200,10,0.7162456140350877
240,4,2,10,1,0.6604210526315789
241,4,2,10,2,0.6709122807017543
242,4,2,10,3,0.6895438596491228
243,4,2,10,4,0.6417894736842106
244,4,2,10,5,0.6657894736842105
245,4,2,10,6,0.6870877192982456
246,4,2,10,7,0.694982456140351
247,4,2,10,8,0.7161754385964911
248,4,2,10,9,0.7268070175438596
249,4,2,10,10,0.7401052631578947
250,4,2,20,1,0.6923859649122808
251,4,2,20,2,0.6923157894736842
252,4,2,20,3,0.7296140350877194
253,4,2,20,4,0.6896842105263159
254,4,2,20,5,0.681719298245614
255,4,2,20,6,0.7561754385964912
256,4,2,20,7,0.7292982456140351
257,4,2,20,8,0.7003157894736842
258,4,2,20,9,0.6789824561403509
259,4,2,20,10,0.7029824561403508
260,4,2,30,1,0.7110175438596491
261,4,2,30,2,0.7030175438596491
262,4,2,30,3,0.7242105263157895
263,4,2,30,4,0.7296140350877194
264,4,2,30,5,0.716280701754386
265,4,2,30,6,0.7135789473684211
266,4,2,30,7,0.7190526315789474
267,4,2,30,8,0.6736140350877193
268,4,2,30,9,0.7215087719298244
269,4,2,30,10,0.7348421052631579
270,4,2,40,1,0.7216842105263158
271,4,2,40,2,0.724140350877193
272,4,2,40,3,0.7136842105263158
273,4,2,40,4,0.7296491228070175
274,4,2,40,5,0.7349122807017544
275,4,2,40,6,0.7189122807017544
276,4,2,40,7,0.724140350877193
277,4,2,40,8,0.7295087719298244
278,4,2,40,9,0.7614385964912281
279,4,2,40,10,0.724140350877193
280,4,2,50,1,0.713719298245614
281,4,2,50,2,0.729578947368421
282,4,2,50,3,0.7136491228070174
283,4,2,50,4,0.7002807017543861
284,4,2,50,5,0.721578947368421
285,4,2,50,6,0.7456842105263158
286,4,2,50,7,0.7109824561403509
287,4,2,50,8,0.7269122807017544
288,4,2,50,9,0.7269824561403508
289,4,2,50,10,0.7109824561403508
290,4,2,100,1,0.7110877192982457
291,4,2,100,2,0.721578947368421
292,4,2,100,3,0.7109122807017544
293,4,2,100,4,0.7268771929824561
294,4,2,100,5,0.7163157894736842
295,4,2,100,6,0.7455087719298246
296,4,2,100,7,0.742842105263158
297,4,2,100,8,0.7109122807017544
298,4,2,100,9,0.721578947368421
299,4,2,100,10,0.7216140350877194
300,4,2,150,1,0.7003157894736842
301,4,2,150,2,0.7349473684210526
302,4,2,150,3,0.7216140350877194
303,4,2,150,4,0.7242105263157894
304,4,2,150,5,0.7055438596491228
305,4,2,150,6,0.7056140350877194
306,4,2,150,7,0.7322105263157895
307,4,2,150,8,0.7135789473684211
308,4,2,150,9,0.7269122807017544
309,4,2,150,10,0.7375438596491228
310,4,2,200,1,0.7269473684210527
311,4,2,200,2,0.7322807017543861
312,4,2,200,3,0.7295789473684211
313,4,2,200,4,0.729578947368421
314,4,2,200,5,0.7375438596491228
315,4,2,200,6,0.7348070175438597
316,4,2,200,7,0.7215087719298244
317,4,2,200,8,0.7322105263157896
318,4,2,200,9,0.740140350877193
319,4,2,200,10,0.7241754385964911
320,5,1,10,1,0.6820701754385965
321,5,1,10,2,0.6868771929824561
322,5,1,10,3,0.6867719298245614
323,5,1,10,4,0.6924561403508772
324,5,1,10,5,0.6951228070175437
325,5,1,10,6,0.7215438596491228
326,5,1,10,7,0.6870526315789472
327,5,1,10,8,0.6870877192982455
328,5,1,10,9,0.7108771929824561
329,5,1,10,10,0.6924912280701755
330,5,1,20,1,0.6818245614035088
331,5,1,20,2,0.6871228070175438
332,5,1,20,3,0.7083157894736842
333,5,1,20,4,0.7031929824561403
334,5,1,20,5,0.6976140350877194
335,5,1,20,6,0.7349473684210526
336,5,1,20,7,0.7057894736842105
337,5,1,20,8,0.7163157894736842
338,5,1,20,9,0.7136491228070175
339,5,1,20,10,0.7188771929824561
340,5,1,30,1,0.6897894736842106
341,5,1,30,2,0.6764912280701754
342,5,1,30,3,0.7509122807017544
343,5,1,30,4,0.7082807017543861
344,5,1,30,5,0.7269824561403508
345,5,1,30,6,0.7242456140350877
346,5,1,30,7,0.7374385964912281
347,5,1,30,8,0.7056140350877194
348,5,1,30,9,0.6896140350877193
349,5,1,30,10,0.7082105263157895
350,5,1,40,1,0.6976842105263159
351,5,1,40,2,0.6924210526315788
352,5,1,40,3,0.7002105263157895
353,5,1,40,4,0.6842105263157895
354,5,1,40,5,0.7403157894736841
355,5,1,40,6,0.6923508771929824
356,5,1,40,7,0.7109122807017544
357,5,1,40,8,0.7163859649122808
358,5,1,40,9,0.6870175438596491
359,5,1,40,10,0.7189473684210527
360,5,1,50,1,0.7188421052631578
361,5,1,50,2,0.7136491228070175
362,5,1,50,3,0.7216140350877194
363,5,1,50,4,0.7003157894736842
364,5,1,50,5,0.7108771929824561
365,5,1,50,6,0.7161052631578947
366,5,1,50,7,0.7215087719298245
367,5,1,50,8,0.7188771929824561
368,5,1,50,9,0.7136140350877194
369,5,1,50,10,0.708280701754386
370,5,1,100,1,0.7056140350877194
371,5,1,100,2,0.7163508771929823
372,5,1,100,3,0.7322456140350877
373,5,1,100,4,0.7109122807017544
374,5,1,100,5,0.7428421052631579
375,5,1,100,6,0.734842105263158
376,5,1,100,7,0.7295438596491228
377,5,1,100,8,0.7295438596491228
378,5,1,100,9,0.7188070175438596
379,5,1,100,10,0.7348070175438597
380,5,1,150,1,0.7188771929824561
381,5,1,150,2,0.7242807017543861
382,5,1,150,3,0.7109473684210527
383,5,1,150,4,0.7374035087719297
384,5,1,150,5,0.7161754385964911
385,5,1,150,6,0.7562105263157896
386,5,1,150,7,0.7215438596491228
387,5,1,150,8,0.7375087719298246
388,5,1,150,9,0.7242456140350877
389,5,1,150,10,0.7534736842105263
390,5,1,200,1,0.7083508771929824
391,5,1,200,2,0.7295789473684211
392,5,1,200,3,0.7349824561403508
393,5,1,200,4,0.7322105263157895
394,5,1,200,5,0.7268771929824561
395,5,1,200,6,0.7082807017543861
396,5,1,200,7,0.732140350877193
397,5,1,200,8,0.7375087719298244
398,5,1,200,9,0.7268070175438597
399,5,1,200,10,0.7507719298245614
400,5,2,10,1,0.6688421052631579
401,5,2,10,2,0.6790526315789472
402,5,2,10,3,0.7030877192982457
403,5,2,10,4,0.7269473684210527
404,5,2,10,5,0.7080350877192982
405,5,2,10,6,0.7375087719298244
406,5,2,10,7,0.6975087719298246
